INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
16;22.01.2016 0:00:00;1;630000;34831
17;22.01.2016 0:00:00;1;630000;34478
18;22.01.2016 0:00:00;1;630000;34442
19;22.01.2016 0:00:00;1;630000;33659
20;22.01.2016 0:00:00;1;630000;32910
21;22.01.2016 0:00:00;1;630000;31978
22;22.01.2016 0:00:00;1;630000;31598
23;22.01.2016 0:00:00;1;630000;30786
0;23.01.2016 0:00:00;1;630000;30541
1;23.01.2016 0:00:00;1;630000;30428
2;23.01.2016 0:00:00;1;630000;30625
3;23.01.2016 0:00:00;1;630000;30800
4;23.01.2016 0:00:00;1;630000;31230
5;23.01.2016 0:00:00;1;630000;32020
6;23.01.2016 0:00:00;1;630000;32739
7;23.01.2016 0:00:00;1;630000;33138
8;23.01.2016 0:00:00;1;630000;33570
9;23.01.2016 0:00:00;1;630000;33608
10;23.01.2016 0:00:00;1;630000;33287
11;23.01.2016 0:00:00;1;630000;33313
12;23.01.2016 0:00:00;1;630000;33140
13;23.01.2016 0:00:00;1;630000;33168
14;23.01.2016 0:00:00;1;630000;33380
15;23.01.2016 0:00:00;1;630000;34388
16;23.01.2016 0:00:00;1;630000;34360
17;23.01.2016 0:00:00;1;630000;34096
18;23.01.2016 0:00:00;1;630000;33818
19;23.01.2016 0:00:00;1;630000;33481
20;23.01.2016 0:00:00;1;630000;32640
21;23.01.2016 0:00:00;1;630000;32075
22;23.01.2016 0:00:00;1;630000;31298
23;23.01.2016 0:00:00;1;630000;30669
0;24.01.2016 0:00:00;1;630000;30439
1;24.01.2016 0:00:00;1;630000;30315
2;24.01.2016 0:00:00;1;630000;30145
3;24.01.2016 0:00:00;1;630000;30360
4;24.01.2016 0:00:00;1;630000;30626
5;24.01.2016 0:00:00;1;630000;31012
6;24.01.2016 0:00:00;1;630000;31786
7;24.01.2016 0:00:00;1;630000;32733
8;24.01.2016 0:00:00;1;630000;33320
9;24.01.2016 0:00:00;1;630000;33351
10;24.01.2016 0:00:00;1;630000;33120
11;24.01.2016 0:00:00;1;630000;33155
12;24.01.2016 0:00:00;1;630000;32690
13;24.01.2016 0:00:00;1;630000;32779
14;24.01.2016 0:00:00;1;630000;33242
15;24.01.2016 0:00:00;1;630000;34278
16;24.01.2016 0:00:00;1;630000;34427
17;24.01.2016 0:00:00;1;630000;34423
18;24.01.2016 0:00:00;1;630000;34056
19;24.01.2016 0:00:00;1;630000;33637
20;24.01.2016 0:00:00;1;630000;32649
21;24.01.2016 0:00:00;1;630000;31616
22;24.01.2016 0:00:00;1;630000;30892
23;24.01.2016 0:00:00;1;630000;30433
0;25.01.2016 0:00:00;1;630000;30284
1;25.01.2016 0:00:00;1;630000;30226
2;25.01.2016 0:00:00;1;630000;30116
3;25.01.2016 0:00:00;1;630000;30841
4;25.01.2016 0:00:00;1;630000;32012
5;25.01.2016 0:00:00;1;630000;33536
6;25.01.2016 0:00:00;1;630000;34631
7;25.01.2016 0:00:00;1;630000;34945
8;25.01.2016 0:00:00;1;630000;34641
9;25.01.2016 0:00:00;1;630000;34783
10;25.01.2016 0:00:00;1;630000;34861
11;25.01.2016 0:00:00;1;630000;34509
12;25.01.2016 0:00:00;1;630000;34349
13;25.01.2016 0:00:00;1;630000;34247
14;25.01.2016 0:00:00;1;630000;34554
15;25.01.2016 0:00:00;1;630000;35217
16;25.01.2016 0:00:00;1;630000;35269
17;25.01.2016 0:00:00;1;630000;34871
